Portfolio_ID,Manager_Name,Portfolio_Type,Assets_Under_Management_Million,Region,Risk_Exposure_Score,Diversification_Score,Style_Drift_Score,Governance_Compliance_Score,Overall_Risk_Level,Performance_Indicator,GIPS_Compliant,UCITS_Compliant,AIFMD_Compliant,Audit_Report_Generated,Flagged_For_Review,Flag_Reason
PORT_a4d1ec3b,Brandon Russell,Hedge Fund,2702.21,U.S.,0.38,0.56,0.34,0.05,Low,Below Benchmark,No,Yes,Yes,Yes,Yes,Style Drift
PORT_11c2a716,Steven Johnson,Equity,8792.37,Global,0.07,0.32,0.45,0.91,Low,Meeting Benchmark,Yes,Yes,Yes,No,No,None
PORT_18a4a514,Evelyn Christian,Real Assets,4795.39,Global,0.84,0.77,0.34,0.8,Low,Meeting Benchmark,No,Yes,No,No,No,None
PORT_e15d4d4a,George Cook,Real Assets,8906.48,Global,0.52,0.42,0.51,0.85,High,Above Benchmark,Yes,No,No,Yes,No,None
PORT_1f5301c4,Aaron Graham,Real Assets,3942.37,U.S.,0.72,0.39,0.78,0.02,High,Above Benchmark,No,Yes,No,Yes,No,None
PORT_d6641405,Kyle Jones,Real Assets,7250.45,U.S.,0.64,0.99,0.96,0.63,Low,Meeting Benchmark,No,Yes,Yes,No,No,None
PORT_8c01172a,Jerome Whitehead,Hedge Fund,489.09,EU,0.46,0.02,0.8,0.68,Moderate,Meeting Benchmark,No,Yes,Yes,Yes,No,None
PORT_f07133c0,Charles Tyler,Equity,874.91,U.S.,0.8,0.38,0.55,0.64,Low,Below Benchmark,No,No,Yes,No,No,None
PORT_d72e9eb8,Thomas Berry,Equity,6409.32,EU,0.88,0.42,0.72,0.68,Moderate,Meeting Benchmark,Yes,Yes,Yes,No,No,None
PORT_1699afbb,Ryan Mack,Fixed Income,9141.54,Asia-Pacific,0.78,0.39,0.13,0.97,High,Above Benchmark,Yes,No,No,Yes,No,None
PORT_18c2df19,Robert Clark,Hedge Fund,6701.05,Asia-Pacific,0.45,0.74,0.72,0.71,Moderate,Below Benchmark,No,Yes,Yes,No,No,None
PORT_2289ada8,Kelsey Pacheco,Real Assets,5587.95,Asia-Pacific,0.5,0.55,0.37,0.89,Moderate,Above Benchmark,No,Yes,Yes,No,No,None
PORT_94578c0b,James Hammond,Equity,9385.71,U.S.,0.96,0.51,0.76,0.89,Low,Above Benchmark,No,Yes,Yes,No,No,None
PORT_48a6324c,Melinda Little,Real Assets,1397.69,Global,0.49,0.4,0.03,0.71,High,Below Benchmark,No,No,Yes,Yes,Yes,Diversification Breach
PORT_fc3b46cd,Stefanie Tucker,Equity,8987.77,Global,0.34,0.58,0.69,0.36,Moderate,Below Benchmark,No,No,No,Yes,No,None
PORT_d85514a7,Jade Johnson,Balanced,8124.03,EU,0.82,0.18,0.98,0.06,Moderate,Below Benchmark,No,Yes,No,No,No,None
PORT_4c8d2d8e,Catherine Wilkins,Equity,9086.72,Asia-Pacific,0.05,0.38,0.59,0.3,Moderate,Meeting Benchmark,No,Yes,No,No,Yes,Conflict of Interest
PORT_cd74abf1,Mary Jackson,Real Assets,5736.64,EU,0.95,0.46,0.57,0.92,Moderate,Above Benchmark,Yes,Yes,Yes,No,No,None
PORT_7888533f,James Jones,Fixed Income,4799.35,U.S.,0.47,0.54,0.33,0.37,Low,Meeting Benchmark,Yes,No,No,Yes,No,None
PORT_c6307162,Kenneth Rogers,Hedge Fund,2314.39,U.S.,0.87,0.29,1.0,0.36,Low,Meeting Benchmark,Yes,No,Yes,Yes,No,None
