CardholderID,AccountNumber,CreditLimit,AvailableCredit,TotalSpentThisMonth,MinimumPayment,PaymentStatus,InterestRate,FeesCharged,RecentLargeTransactions,RiskScore,ComplianceIssues,LastPaymentDate,NextPaymentDueDate
1,634895718,15647,14980,667,33.35,On-Time,0.11,35,No,92,None,2023-01-01,2023-01-02
2,299900595,12911,9541,3370,168.5,Late,0.14,25,No,81,None,2023-01-01,2023-01-02
3,962061404,11472,10078,1394,69.7,On-Time,0.22,0,No,82,None,2023-01-01,2023-01-02
4,887846414,6266,6168,98,4.9,Very Late,0.11,0,No,77,None,2023-01-01,2023-01-02
5,227521863,3666,3620,46,2.3,Late,0.19,25,No,91,None,2023-01-01,2023-01-02
6,523734972,7188,4302,2886,144.3,Late,0.25,0,Yes,90,None,2023-01-01,2023-01-02
7,515968276,13161,12740,421,21.05,On-Time,0.23,15,Yes,85,UDAAP,2023-01-01,2023-01-02
8,770094950,14314,8715,5599,279.95,On-Time,0.18,0,No,55,None,2023-01-01,2023-01-02
9,941095289,15891,12241,3650,182.5,Late,0.11,25,No,65,Late Fee Issues,2023-01-01,2023-01-02
10,769991378,7777,7716,61,3.05,On-Time,0.22,25,No,83,None,2023-01-01,2023-01-02
11,529389014,6900,5768,1132,56.6,Late,0.19,15,No,72,None,2023-01-01,2023-01-02
12,349467210,16716,13096,3620,181.0,Very Late,0.12,35,No,99,Late Fee Issues,2023-01-01,2023-01-02
13,998717130,9981,6791,3190,159.5,On-Time,0.11,25,No,91,None,2023-01-01,2023-01-02
14,598972759,9376,8779,597,29.85,Late,0.24,15,No,73,None,2023-01-01,2023-01-02
15,459525748,19907,19516,391,19.55,Very Late,0.2,0,No,98,None,2023-01-01,2023-01-02
16,534285667,13160,12085,1075,53.75,Very Late,0.22,0,No,62,None,2023-01-01,2023-01-02
17,713608295,17124,14474,2650,132.5,Late,0.23,15,No,67,None,2023-01-01,2023-01-02
18,993664919,19282,16898,2384,119.2,On-Time,0.19,15,No,62,None,2023-01-01,2023-01-02
19,748061058,13488,12679,809,40.45,Late,0.18,25,No,98,Late Fee Issues,2023-01-01,2023-01-02
20,188409749,8240,4931,3309,165.45,Very Late,0.16,0,No,86,None,2023-01-01,2023-01-02
21,342285876,13453,7952,5501,275.05,Late,0.15,15,No,92,UDAAP,2023-01-01,2023-01-02
22,454088427,13478,9740,3738,186.9,On-Time,0.17,0,No,88,UDAAP,2023-01-01,2023-01-02
23,909827741,15394,8499,6895,344.75,Very Late,0.22,15,No,91,None,2023-01-01,2023-01-02
24,103344769,7432,6273,1159,57.95,Late,0.19,0,No,66,None,2023-01-01,2023-01-02
25,880932287,16568,8994,7574,378.7,On-Time,0.23,35,No,64,Late Fee Issues,2023-01-01,2023-01-02
26,887716372,17178,15647,1531,76.55,Very Late,0.17,25,No,67,UDAAP,2023-01-01,2023-01-02
27,604579232,3302,1917,1385,69.25,On-Time,0.19,0,No,72,None,2023-01-01,2023-01-02
28,332968651,3055,1651,1404,70.2,Very Late,0.19,35,No,79,None,2023-01-01,2023-01-02
29,579546681,16013,11037,4976,248.8,Late,0.19,0,No,83,None,2023-01-01,2023-01-02
30,206328085,11717,6022,5695,284.75,On-Time,0.21,0,No,53,None,2023-01-01,2023-01-02
31,130349564,11150,8468,2682,134.1,Very Late,0.14,35,No,52,None,2023-01-01,2023-01-02
32,881447915,5125,4872,253,12.65,On-Time,0.18,0,No,56,None,2023-01-01,2023-01-02
33,199052376,14479,10931,3548,177.4,On-Time,0.12,0,No,67,None,2023-01-01,2023-01-02
34,277077808,18745,12582,6163,308.15,Late,0.16,25,No,91,None,2023-01-01,2023-01-02
35,206406362,19748,13077,6671,333.55,On-Time,0.17,35,No,56,None,2023-01-01,2023-01-02
36,580404538,9809,8578,1231,61.55,Very Late,0.2,35,No,89,None,2023-01-01,2023-01-02
37,743647998,7621,4019,3602,180.1,Very Late,0.24,15,No,55,None,2023-01-01,2023-01-02
38,699121577,18034,15611,2423,121.15,Very Late,0.19,0,No,71,None,2023-01-01,2023-01-02
39,300427519,16623,8552,8071,403.55,Very Late,0.21,25,No,50,None,2023-01-01,2023-01-02
40,281009883,8126,7961,165,8.25,Late,0.18,0,No,53,None,2023-01-01,2023-01-02
41,599770319,8122,6549,1573,78.65,On-Time,0.2,0,No,95,None,2023-01-01,2023-01-02
42,985063869,8870,5962,2908,145.4,Late,0.11,15,No,98,UDAAP,2023-01-01,2023-01-02
43,489151677,4531,3915,616,30.8,On-Time,0.14,0,No,99,None,2023-01-01,2023-01-02
44,251079598,11172,9547,1625,81.25,On-Time,0.15,25,No,92,None,2023-01-01,2023-01-02
45,608464061,10673,6675,3998,199.9,On-Time,0.17,25,Yes,78,None,2023-01-01,2023-01-02
46,957592370,9882,5999,3883,194.15,Late,0.11,15,No,70,UDAAP,2023-01-01,2023-01-02
47,668919915,4906,4404,502,25.1,On-Time,0.12,0,No,75,None,2023-01-01,2023-01-02
48,161136438,6086,5174,912,45.6,Late,0.14,25,No,63,None,2023-01-01,2023-01-02
49,496917567,16503,10281,6222,311.1,Very Late,0.25,0,No,58,None,2023-01-01,2023-01-02
50,299502978,11152,6472,4680,234.0,Very Late,0.15,0,No,96,None,2023-01-01,2023-01-02
51,572190436,8750,6792,1958,97.9,On-Time,0.17,0,No,61,None,2023-01-01,2023-01-02
52,561901618,15772,11763,4009,200.45,Late,0.13,15,No,91,None,2023-01-01,2023-01-02
53,874414982,13267,10532,2735,136.75,Very Late,0.19,0,No,55,None,2023-01-01,2023-01-02
54,832395540,4062,3667,395,19.75,Late,0.14,25,Yes,69,None,2023-01-01,2023-01-02
55,961137736,9229,6055,3174,158.7,Late,0.13,0,No,73,None,2023-01-01,2023-01-02
56,379394470,19509,10916,8593,429.65,On-Time,0.18,25,No,76,None,2023-01-01,2023-01-02
57,156972561,18147,17173,974,48.7,Very Late,0.1,0,Yes,87,Late Fee Issues,2023-01-01,2023-01-02
58,954206851,7632,7409,223,11.15,On-Time,0.1,25,No,57,None,2023-01-01,2023-01-02
59,925500248,9288,4675,4613,230.65,On-Time,0.13,25,No,50,Late Fee Issues,2023-01-01,2023-01-02
60,371820813,6596,3915,2681,134.05,Very Late,0.11,0,No,98,None,2023-01-01,2023-01-02
61,350814705,14475,14240,235,11.75,Very Late,0.12,0,No,98,None,2023-01-01,2023-01-02
62,681609465,9168,5670,3498,174.9,Late,0.15,25,No,73,None,2023-01-01,2023-01-02
63,334564360,12795,8584,4211,210.55,Very Late,0.22,35,No,96,UDAAP,2023-01-01,2023-01-02
64,168574553,10561,7327,3234,161.7,Late,0.19,15,No,56,None,2023-01-01,2023-01-02
65,519498548,11258,11033,225,11.25,Late,0.18,35,No,68,None,2023-01-01,2023-01-02
66,891274835,19616,11433,8183,409.15,Late,0.14,35,No,71,None,2023-01-01,2023-01-02
67,916698734,9371,5094,4277,213.85,Very Late,0.24,0,No,84,None,2023-01-01,2023-01-02
68,887110843,17369,16028,1341,67.05,On-Time,0.16,15,No,79,None,2023-01-01,2023-01-02
69,624150214,15910,11874,4036,201.8,Late,0.11,35,No,78,None,2023-01-01,2023-01-02
70,572432043,10943,10734,209,10.45,On-Time,0.19,0,No,71,None,2023-01-01,2023-01-02
71,457319431,15199,11472,3727,186.35,On-Time,0.12,35,Yes,60,None,2023-01-01,2023-01-02
72,247697582,18728,14800,3928,196.4,Very Late,0.15,35,Yes,69,None,2023-01-01,2023-01-02
73,844595490,9738,6935,2803,140.15,On-Time,0.18,0,No,78,None,2023-01-01,2023-01-02
74,784275917,18913,9612,9301,465.05,On-Time,0.23,0,No,90,None,2023-01-01,2023-01-02
75,705850704,5472,3010,2462,123.1,Very Late,0.17,0,No,91,None,2023-01-01,2023-01-02
76,137709731,18679,18286,393,19.65,Late,0.21,15,No,83,None,2023-01-01,2023-01-02
77,882698033,4761,3918,843,42.15,On-Time,0.25,35,No,50,None,2023-01-01,2023-01-02
78,798027879,13167,11643,1524,76.2,Very Late,0.12,0,No,80,UDAAP,2023-01-01,2023-01-02
79,123027075,13554,12951,603,30.15,On-Time,0.14,25,No,79,UDAAP,2023-01-01,2023-01-02
80,365047041,17277,16696,581,29.05,On-Time,0.16,35,No,97,Late Fee Issues,2023-01-01,2023-01-02
81,852288765,6812,4770,2042,102.1,Late,0.16,25,No,67,None,2023-01-01,2023-01-02
82,186191493,4605,2666,1939,96.95,On-Time,0.16,15,No,66,None,2023-01-01,2023-01-02
83,993102645,8622,8490,132,6.6,Very Late,0.24,0,No,87,None,2023-01-01,2023-01-02
84,300619113,9767,6929,2838,141.9,On-Time,0.21,25,No,63,None,2023-01-01,2023-01-02
85,390770691,14613,7821,6792,339.6,Late,0.19,15,No,72,None,2023-01-01,2023-01-02
86,893943861,13589,10204,3385,169.25,Late,0.15,0,No,74,None,2023-01-01,2023-01-02
87,234489564,16918,13148,3770,188.5,Very Late,0.22,25,No,64,Late Fee Issues,2023-01-01,2023-01-02
88,496360081,16046,13778,2268,113.4,Late,0.24,25,Yes,95,Late Fee Issues,2023-01-01,2023-01-02
89,207944665,5590,4615,975,48.75,On-Time,0.22,15,No,71,None,2023-01-01,2023-01-02
90,957937451,7324,3815,3509,175.45,Late,0.1,0,No,52,None,2023-01-01,2023-01-02
91,913891745,13787,11974,1813,90.65,Very Late,0.2,0,No,68,None,2023-01-01,2023-01-02
92,723415497,12111,8848,3263,163.15,Late,0.11,25,No,93,None,2023-01-01,2023-01-02
93,722028733,8342,6799,1543,77.15,Late,0.14,25,No,83,None,2023-01-01,2023-01-02
94,858744035,19389,16554,2835,141.75,Late,0.11,25,No,84,None,2023-01-01,2023-01-02
95,520477197,11659,8921,2738,136.9,Very Late,0.19,0,No,99,None,2023-01-01,2023-01-02
96,838194223,17043,12909,4134,206.7,Late,0.2,15,No,50,None,2023-01-01,2023-01-02
97,428740110,11837,10521,1316,65.8,Late,0.12,15,No,70,None,2023-01-01,2023-01-02
98,480072391,3117,2428,689,34.45,On-Time,0.16,0,No,78,None,2023-01-01,2023-01-02
99,402554573,16917,8564,8353,417.65,Very Late,0.17,35,No,55,None,2023-01-01,2023-01-02
100,941739990,17309,15400,1909,95.45,Late,0.16,15,No,86,Late Fee Issues,2023-01-01,2023-01-02
101,189482491,16234,15107,1127,56.35,Very Late,0.12,25,No,50,None,2023-01-01,2023-01-02
102,294249720,8560,4690,3870,193.5,Late,0.16,35,No,50,None,2023-01-01,2023-01-02
103,423541287,3846,2188,1658,82.9,Late,0.21,35,No,76,None,2023-01-01,2023-01-02
104,506019796,13954,10829,3125,156.25,Late,0.11,15,Yes,70,None,2023-01-01,2023-01-02
105,695614415,16703,14740,1963,98.15,On-Time,0.11,35,No,65,UDAAP,2023-01-01,2023-01-02
106,191693393,18385,13232,5153,257.65,On-Time,0.15,35,No,93,None,2023-01-01,2023-01-02
107,270476398,16746,15780,966,48.3,On-Time,0.24,15,No,89,None,2023-01-01,2023-01-02
108,438175028,9469,8580,889,44.45,Very Late,0.2,15,No,75,None,2023-01-01,2023-01-02
109,472593431,12333,9272,3061,153.05,Very Late,0.2,35,No,65,TILA,2023-01-01,2023-01-02
110,558502041,19608,13147,6461,323.05,On-Time,0.15,25,No,77,None,2023-01-01,2023-01-02
111,232862715,15819,9653,6166,308.3,Very Late,0.19,0,No,50,None,2023-01-01,2023-01-02
112,559708603,7208,4337,2871,143.55,Late,0.1,35,Yes,85,None,2023-01-01,2023-01-02
113,283378299,9283,6094,3189,159.45,Late,0.2,35,No,59,None,2023-01-01,2023-01-02
114,211665644,5048,3382,1666,83.3,Late,0.24,25,No,92,None,2023-01-01,2023-01-02
115,705264936,9233,6167,3066,153.3,On-Time,0.19,35,No,66,None,2023-01-01,2023-01-02
116,298743196,15941,8562,7379,368.95,Very Late,0.23,35,No,72,None,2023-01-01,2023-01-02
117,324184334,15607,14166,1441,72.05,On-Time,0.21,0,No,56,Late Fee Issues,2023-01-01,2023-01-02
118,809816108,12765,11698,1067,53.35,Very Late,0.12,0,Yes,93,None,2023-01-01,2023-01-02
119,420192576,4828,4701,127,6.35,Late,0.24,0,No,56,None,2023-01-01,2023-01-02
120,167157848,4917,4760,157,7.85,On-Time,0.11,15,No,93,None,2023-01-01,2023-01-02
121,844753672,9988,6132,3856,192.8,Very Late,0.18,15,No,64,None,2023-01-01,2023-01-02
122,195540567,17594,12987,4607,230.35,Very Late,0.12,0,No,83,None,2023-01-01,2023-01-02
123,722261376,15977,11992,3985,199.25,Late,0.1,0,No,95,None,2023-01-01,2023-01-02
124,953477355,3009,2965,44,2.2,On-Time,0.16,15,No,94,None,2023-01-01,2023-01-02
125,286780295,19644,16465,3179,158.95,On-Time,0.14,25,No,53,None,2023-01-01,2023-01-02
126,123717335,12865,6503,6362,318.1,On-Time,0.17,35,No,63,None,2023-01-01,2023-01-02
127,160472382,5219,4777,442,22.1,Late,0.19,35,No,63,None,2023-01-01,2023-01-02
128,381154698,10041,6140,3901,195.05,On-Time,0.11,0,No,65,None,2023-01-01,2023-01-02
129,954021618,8287,5925,2362,118.1,Late,0.12,25,No,56,None,2023-01-01,2023-01-02
130,988445520,4619,2395,2224,111.2,Late,0.18,15,No,81,None,2023-01-01,2023-01-02
131,272552610,11512,9786,1726,86.3,Late,0.15,0,No,68,TILA,2023-01-01,2023-01-02
132,191355424,4342,2336,2006,100.3,Very Late,0.21,25,Yes,51,Late Fee Issues,2023-01-01,2023-01-02
133,555094650,13568,7777,5791,289.55,On-Time,0.2,25,No,59,None,2023-01-01,2023-01-02
134,418019332,17231,9158,8073,403.65,On-Time,0.23,25,No,99,None,2023-01-01,2023-01-02
135,857206505,6490,6224,266,13.3,Late,0.2,15,No,66,None,2023-01-01,2023-01-02
136,565856742,12310,11473,837,41.85,Late,0.16,15,No,86,Late Fee Issues,2023-01-01,2023-01-02
137,748870905,10984,6400,4584,229.2,On-Time,0.2,35,Yes,61,None,2023-01-01,2023-01-02
138,597653800,15219,10422,4797,239.85,Late,0.14,35,No,55,None,2023-01-01,2023-01-02
139,808496411,3235,2549,686,34.3,On-Time,0.15,25,No,71,None,2023-01-01,2023-01-02
140,585775494,13161,9800,3361,168.05,Very Late,0.22,25,No,81,Late Fee Issues,2023-01-01,2023-01-02
141,529662408,4908,3913,995,49.75,Late,0.17,15,No,90,None,2023-01-01,2023-01-02
142,629561415,11567,11211,356,17.8,On-Time,0.22,35,No,69,None,2023-01-01,2023-01-02
143,956634123,6530,5659,871,43.55,Late,0.22,25,No,50,None,2023-01-01,2023-01-02
144,447454369,8256,6283,1973,98.65,On-Time,0.23,35,No,96,None,2023-01-01,2023-01-02
145,509783328,11162,6515,4647,232.35,On-Time,0.24,35,No,55,None,2023-01-01,2023-01-02
146,372981039,8415,6605,1810,90.5,Late,0.16,25,No,68,None,2023-01-01,2023-01-02
147,618910454,6391,6069,322,16.1,Very Late,0.15,15,No,67,None,2023-01-01,2023-01-02
148,361917078,14157,11516,2641,132.05,On-Time,0.19,25,No,55,None,2023-01-01,2023-01-02
149,825167677,8951,6723,2228,111.4,On-Time,0.16,25,No,94,None,2023-01-01,2023-01-02
150,422909911,11007,7616,3391,169.55,On-Time,0.19,35,No,82,None,2023-01-01,2023-01-02
151,812631076,12064,7886,4178,208.9,Very Late,0.21,25,No,72,None,2023-01-01,2023-01-02
152,492121003,18524,14167,4357,217.85,Very Late,0.2,15,No,72,None,2023-01-01,2023-01-02
153,690804839,3077,2294,783,39.15,Late,0.16,25,No,75,None,2023-01-01,2023-01-02
154,206179285,10577,5568,5009,250.45,Very Late,0.13,15,No,62,None,2023-01-01,2023-01-02
155,689324250,19984,17245,2739,136.95,Late,0.16,15,No,56,None,2023-01-01,2023-01-02
156,363038498,17060,12276,4784,239.2,Late,0.12,35,No,64,None,2023-01-01,2023-01-02
157,670916578,13535,11092,2443,122.15,Very Late,0.23,0,No,93,Late Fee Issues,2023-01-01,2023-01-02
158,613653348,12510,10738,1772,88.6,Late,0.15,0,No,76,None,2023-01-01,2023-01-02
159,524831618,9943,6734,3209,160.45,Very Late,0.12,35,No,75,None,2023-01-01,2023-01-02
160,146321408,14954,10020,4934,246.7,Late,0.1,25,No,82,None,2023-01-01,2023-01-02
161,363183577,10804,9927,877,43.85,Very Late,0.2,35,No,64,None,2023-01-01,2023-01-02
162,190053374,9565,6695,2870,143.5,Very Late,0.2,15,No,85,Late Fee Issues,2023-01-01,2023-01-02
163,126063245,8984,5784,3200,160.0,Late,0.15,0,No,94,Late Fee Issues,2023-01-01,2023-01-02
164,273660954,7670,7622,48,2.4,On-Time,0.11,35,No,76,None,2023-01-01,2023-01-02
165,197636744,12184,8437,3747,187.35,Late,0.16,25,No,54,None,2023-01-01,2023-01-02
166,862532878,5192,4900,292,14.6,Very Late,0.15,35,No,51,None,2023-01-01,2023-01-02
167,576272473,4248,2597,1651,82.55,On-Time,0.2,0,No,82,None,2023-01-01,2023-01-02
168,209174313,14246,9615,4631,231.55,Late,0.19,35,No,65,None,2023-01-01,2023-01-02
169,913194107,15790,11384,4406,220.3,Late,0.15,35,No,72,None,2023-01-01,2023-01-02
170,563390156,6687,6151,536,26.8,Late,0.13,0,No,87,None,2023-01-01,2023-01-02
171,966377394,7018,5092,1926,96.3,On-Time,0.25,15,No,65,None,2023-01-01,2023-01-02
172,234987326,14302,11616,2686,134.3,Very Late,0.17,15,No,63,TILA,2023-01-01,2023-01-02
173,726049887,4970,4737,233,11.65,Late,0.2,0,Yes,78,None,2023-01-01,2023-01-02
174,685878246,11389,6061,5328,266.4,Late,0.12,35,No,75,Late Fee Issues,2023-01-01,2023-01-02
175,376406835,18374,16000,2374,118.7,Late,0.17,0,Yes,84,None,2023-01-01,2023-01-02
176,371766524,8788,6516,2272,113.6,Late,0.1,15,No,64,None,2023-01-01,2023-01-02
177,136810847,8408,7442,966,48.3,Late,0.18,25,No,52,None,2023-01-01,2023-01-02
178,939735171,12446,11557,889,44.45,Very Late,0.24,35,No,72,None,2023-01-01,2023-01-02
179,776742877,3922,2107,1815,90.75,Very Late,0.16,15,No,78,None,2023-01-01,2023-01-02
180,698424036,3419,3409,10,0.5,Late,0.11,35,No,83,None,2023-01-01,2023-01-02
181,548469222,13789,10389,3400,170.0,On-Time,0.1,0,No,82,UDAAP,2023-01-01,2023-01-02
182,788839404,4120,4086,34,1.7,Very Late,0.16,25,No,90,None,2023-01-01,2023-01-02
183,271116174,14260,9718,4542,227.1,On-Time,0.12,0,No,90,None,2023-01-01,2023-01-02
184,123841962,5336,3573,1763,88.15,Very Late,0.1,25,No,72,TILA,2023-01-01,2023-01-02
185,972141340,8373,5082,3291,164.55,Late,0.21,35,No,56,None,2023-01-01,2023-01-02
186,928299788,5243,2755,2488,124.4,Very Late,0.17,35,No,52,None,2023-01-01,2023-01-02
187,430626207,7612,4912,2700,135.0,Late,0.14,0,No,81,None,2023-01-01,2023-01-02
188,524623942,16946,15388,1558,77.9,Very Late,0.24,25,Yes,80,Late Fee Issues,2023-01-01,2023-01-02
189,270731194,14104,9414,4690,234.5,Late,0.12,25,No,67,UDAAP,2023-01-01,2023-01-02
190,936594930,16429,10308,6121,306.05,Late,0.24,35,No,92,UDAAP,2023-01-01,2023-01-02
191,792440149,9371,7095,2276,113.8,Late,0.15,0,No,56,None,2023-01-01,2023-01-02
192,660355099,9359,5353,4006,200.3,Late,0.23,25,No,90,Late Fee Issues,2023-01-01,2023-01-02
193,871795521,10863,6424,4439,221.95,On-Time,0.19,35,No,50,None,2023-01-01,2023-01-02
194,634096553,6228,5125,1103,55.15,Late,0.22,15,No,63,None,2023-01-01,2023-01-02
